........................................
# 世界候補の探索  40シード × 50世代（近交回避 有効）
  合格（有効≥5 かつ 平均F≤0.10）: 12/40（30%）
  うち4量すべてが中央値以上: 8件

        seed     有効系統     組数     ニックス     高F%      平均F
        1231     8.00    210        9     8.5   0.0287
        1273     7.19    110       10    10.8   0.0258
        1084     6.50    120        7    10.8   0.0273
        1035     6.43    156        8     8.8   0.0264
        1259     6.32    120        7    11.5   0.0364
        1056     5.87    143       14     8.2   0.0316
        1147     5.56    156       10    12.7   0.0319
        1224     5.08    156        7    14.8   0.0346
